<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.01	00:02:00	0.88117	0.88117	0.88117	0.88117	1	0	241
2025.05.01	00:04:00	0.88117	0.88292	0.88117	0.88292	9	0	79
2025.05.01	00:06:00	0.88277	0.88302	0.88277	0.88302	3	0	40
2025.05.01	00:10:00	0.88302	0.88302	0.88302	0.88302	2	0	33
2025.05.01	00:12:00	0.88302	0.88317	0.88302	0.88317	6	0	19
2025.05.01	00:14:00	0.88317	0.88317	0.88312	0.88312	3	0	15
2025.05.01	00:16:00	0.88312	0.88312	0.88312	0.88312	2	0	15
2025.05.01	00:18:00	0.88312	0.88312	0.88312	0.88312	2	0	20
2025.05.01	00:20:00	0.88312	0.88312	0.88312	0.88312	2	0	26
2025.05.01	00:22:00	0.88312	0.88312	0.88307	0.88307	3	0	20
2025.05.01	00:24:00	0.88307	0.88312	0.88255	0.88312	5	0	15
2025.05.01	00:26:00	0.88312	0.88312	0.88312	0.88312	2	0	17
2025.05.01	00:28:00	0.88312	0.88312	0.88267	0.88269	10	0	25
2025.05.01	00:30:00	0.88269	0.88287	0.88268	0.88287	49	0	54
2025.05.01	00:32:00	0.88292	0.88307	0.88287	0.88304	48	0	45
2025.05.01	00:34:00	0.88304	0.88316	0.88302	0.88314	31	0	42
2025.05.01	00:36:00	0.88312	0.88318	0.88290	0.88300	48	0	42
2025.05.01	00:38:00	0.88300	0.88315	0.88289	0.88307	50	0	37
2025.05.01	00:40:00	0.88306	0.88311	0.88305	0.88310	25	0	40
2025.05.01	00:42:00	0.88309	0.88312	0.88303	0.88305	35	0	37
2025.05.01	00:44:00	0.88307	0.88319	0.88307	0.88318	30	0	22
2025.05.01	00:46:00	0.88318	0.88318	0.88310	0.88311	16	0	36
2025.05.01	00:48:00	0.88310	0.88312	0.88308	0.88308	11	0	37
2025.05.01	00:50:00	0.88309	0.88309	0.88306	0.88308	11	0	36
2025.05.01	00:52:00	0.88308	0.88311	0.88306	0.88311	9	0	36
2025.05.01	00:54:00	0.88311	0.88311	0.88285	0.88292	35	0	33
2025.05.01	00:56:00	0.88291	0.88295	0.88273	0.88274	49	0	34
2025.05.01	00:58:00	0.88272	0.88287	0.88262	0.88267	25	0	22
2025.05.01	01:00:00	0.88267	0.88367	0.88267	0.88367	168	0	6
2025.05.01	01:02:00	0.88367	0.88384	0.88360	0.88365	193	0	9
2025.05.01	01:04:00	0.88361	0.88375	0.88345	0.88375	75	0	10
2025.05.01	01:06:00	0.88375	0.88375	0.88343	0.88361	32	0	10
2025.05.01	01:08:00	0.88361	0.88374	0.88352	0.88361	44	0	9
2025.05.01	01:10:00	0.88362	0.88364	0.88343	0.88345	139	0	10
2025.05.01	01:12:00	0.88346	0.88351	0.88340	0.88350	114	0	8
2025.05.01	01:14:00	0.88351	0.88362	0.88344	0.88345	82	0	9
2025.05.01	01:16:00	0.88344	0.88364	0.88344	0.88364	44	0	7
2025.05.01	01:18:00	0.88364	0.88364	0.88340	0.88347	78	0	8
2025.05.01	01:20:00	0.88347	0.88358	0.88347	0.88352	54	0	6
2025.05.01	01:22:00	0.88353	0.88353	0.88339	0.88343	53	0	6
2025.05.01	01:24:00	0.88341	0.88345	0.88339	0.88340	54	0	8
2025.05.01	01:26:00	0.88340	0.88351	0.88331	0.88345	30	0	4
2025.05.01	01:28:00	0.88344	0.88349	0.88336	0.88336	30	0	7
2025.05.01	01:30:00	0.88334	0.88364	0.88333	0.88359	67	0	7
2025.05.01	01:32:00	0.88356	0.88359	0.88348	0.88348	61	0	4
2025.05.01	01:34:00	0.88349	0.88372	0.88347	0.88366	55	0	7
2025.05.01	01:36:00	0.88366	0.88372	0.88359	0.88364	46	0	7
2025.05.01	01:38:00	0.88365	0.88369	0.88354	0.88354	61	0	5
2025.05.01	01:40:00	0.88354	0.88362	0.88353	0.88358	34	0	8
2025.05.01	01:42:00	0.88359	0.88362	0.88356	0.88360	44	0	9
