<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.14	00:00:00	1.11832	1.11832	1.11832	1.11832	1	0	29
2025.05.14	00:01:00	1.11845	1.11862	1.11821	1.11860	14	0	17
2025.05.14	00:02:00	1.11858	1.11865	1.11853	1.11853	5	0	19
2025.05.14	00:04:00	1.11853	1.11855	1.11853	1.11855	2	0	27
2025.05.14	00:05:00	1.11855	1.11857	1.11855	1.11857	3	0	26
2025.05.14	00:08:00	1.11857	1.11861	1.11850	1.11850	6	0	20
2025.05.14	00:12:00	1.11851	1.11851	1.11850	1.11850	2	0	33
2025.05.14	00:13:00	1.11853	1.11853	1.11853	1.11853	1	0	42
2025.05.14	00:14:00	1.11864	1.11864	1.11850	1.11854	6	0	28
2025.05.14	00:15:00	1.11864	1.11865	1.11863	1.11863	3	0	32
2025.05.14	00:16:00	1.11864	1.11865	1.11856	1.11856	7	0	31
2025.05.14	00:17:00	1.11864	1.11864	1.11834	1.11835	4	0	32
2025.05.14	00:18:00	1.11834	1.11834	1.11828	1.11831	9	0	29
2025.05.14	00:19:00	1.11831	1.11831	1.11831	1.11831	1	0	44
2025.05.14	00:20:00	1.11831	1.11831	1.11824	1.11831	5	0	44
2025.05.14	00:21:00	1.11831	1.11854	1.11831	1.11845	3	0	27
2025.05.14	00:22:00	1.11845	1.11852	1.11845	1.11852	8	0	35
2025.05.14	00:23:00	1.11853	1.11855	1.11853	1.11855	5	0	28
2025.05.14	00:24:00	1.11854	1.11860	1.11853	1.11860	4	0	24
2025.05.14	00:25:00	1.11863	1.11863	1.11853	1.11854	4	0	26
2025.05.14	00:26:00	1.11854	1.11861	1.11853	1.11861	3	0	27
2025.05.14	00:27:00	1.11861	1.11861	1.11854	1.11854	2	0	32
2025.05.14	00:28:00	1.11853	1.11853	1.11851	1.11851	11	0	26
2025.05.14	00:29:00	1.11851	1.11851	1.11851	1.11851	1	0	28
2025.05.14	00:30:00	1.11845	1.11851	1.11831	1.11831	4	0	18
2025.05.14	00:32:00	1.11833	1.11833	1.11831	1.11831	2	0	33
2025.05.14	00:33:00	1.11831	1.11831	1.11831	1.11831	1	0	42
2025.05.14	00:35:00	1.11826	1.11831	1.11826	1.11831	2	0	42
2025.05.14	00:36:00	1.11832	1.11835	1.11831	1.11833	8	0	32
2025.05.14	00:37:00	1.11833	1.11833	1.11833	1.11833	1	0	32
2025.05.14	00:38:00	1.11833	1.11833	1.11822	1.11833	3	0	32
2025.05.14	00:39:00	1.11833	1.11833	1.11833	1.11833	1	0	31
2025.05.14	00:40:00	1.11833	1.11833	1.11833	1.11833	1	0	31
2025.05.14	00:41:00	1.11833	1.11833	1.11833	1.11833	1	0	33
2025.05.14	00:42:00	1.11833	1.11833	1.11816	1.11833	5	0	33
2025.05.14	00:43:00	1.11833	1.11833	1.11815	1.11833	5	0	32
2025.05.14	00:44:00	1.11824	1.11845	1.11824	1.11845	9	0	27
2025.05.14	00:45:00	1.11845	1.11845	1.11845	1.11845	1	0	28
